Creation Date,Status,Completion Date,Service Request Number,Type of Service Request,What Type of Surface is the Graffiti on?,Where is the Graffiti located?,Street Address,ZIP Code,X Coordinate,Y Coordinate,Ward,Police District,Community Area,SSA,Latitude,Longitude,Location
08/31/2017,Completed,08/31/2017,17-05807341,Graffiti Removal,Brick - Unpainted,Door,1441 N MILWAUKEE AVE,60622,1163781.86126805,1909763.83160469,1,14,24,33,41.90818366887230,-87.67381094353360,"(41.908183668872, -87.673810943534)"
08/31/2017,Completed,08/31/2017,17-05804517,Graffiti Removal,Brick - Unpainted,Pole,1905 W LAKE ST,60612,1163674.23992705,1901396.45141552,27,12,28,,41.88495001858180,-87.67456057069920,"(41.884950018582, -87.674560570699)"
08/31/2017,Completed,08/31/2017,17-05812970,Graffiti Removal,Metal - Painted,Pole,3149 W 61ST ST,60629,1156346.59148501,1864009.0501027,16,8,66,3,41.7825029120919,-87.7027577673845,"(41.782502912092, -87.702757767384)"
04/03/2018,Completed,04/04/2018,18-01111157,Graffiti Removal,Metal - Painted,Door,4123 W GRAND AVE,60651,1148575.11382065,1909444.37457367,26,25,23,,41.90742428644200,-87.72989166740360,"(41.907424286442, -87.729891667404)"
08/30/2017,Completed,08/31/2017,17-05790206,Graffiti Removal,"Cement (Sidewalk, Alley, Wall, Curb)",Front,2500 W WILSON AVE,60625,1158876.64061578,1930430.40982626,47,19,4,,41.96494510331500,-87.69129926820220,"(41.964945103315, -87.691299268202)"
08/31/2017,Completed,08/31/2017,17-05805287,Graffiti Removal,Other / Unknown Surface,Garbage Cart,455 S LAKE SHORE DR,60605,1179293.6278307,1898360.77946645,42,1,32,,41.87588971821440,-87.6169951545108,"(41.875889718214, -87.616995154511)"
08/30/2017,Completed - Dup,08/31/2017,17-05796015,Graffiti Removal,Other/Unknown Surface,Sign,3154 N AVONDALE AVE,60618,1154394.63630707,1920909.2530869,35,14,21,,41.93907847845870,-87.70863544433820,"(41.939078478459, -87.708635444338)"
08/30/2017,Completed,08/31/2017,17-05795453,Graffiti Removal,Other / Unknown Surface,Sign,5100 S HOMAN AVE,60632,1154569.82662869,1870603.92811599,14,8,63,,41.80065816843340,-87.70881445388600,"(41.800658168433, -87.708814453886)"
04/03/2018,Completed,04/04/2018,18-01115969,Graffiti Removal,Brick - Unpainted,Alley,5965 N PAULINA ST,60660,1164192.65997044,1939530.46002373,40,20,77,,41.99023479047070,-87.67130837683740,"(41.990234790471, -87.671308376837)"
08/31/2017,Completed,08/31/2017,17-05807049,Graffiti Removal,Brick - Unpainted,Door,1342 N MILWAUKEE AVE,60622,1164561.20013374,1909107.71006739,1,14,24,33,41.90610486833410,-87.67100675475540,"(41.906104868334, -87.671006754755)"
04/03/2018,Completed,04/04/2018,18-01110577,Graffiti Removal,Metal - Painted,Traffic Control Box,1000 S RACINE AVE,60607,1168528.61277242,1895731.22482459,28,12,28,,41.86935557344130,-87.65690024381140,"(41.869355573441, -87.656900243811)"
04/03/2018,Completed,04/04/2018,18-01114002,Graffiti Removal,Wood - Painted,Side,3007 W LAWRENCE AVE,60625,1155423.93381156,1931737.17239658,33,17,14,60,41.96838264574610,-87.70389610385120,"(41.968382645746, -87.703896103851)"
08/31/2017,Completed,08/31/2017,17-05805089,Graffiti Removal,Wood - Painted,Rear,2100 S HARDING AVE,60623,1150377.47671495,1889766.26989557,24,10,29,,41.85332532164400,-87.72369290569760,"(41.853325321644, -87.723692905698)"
